date,areaName,deathsRegistered
2020-04-25,Scotland,
2020-04-24,Scotland,662
2020-04-23,Scotland,
2020-04-22,Scotland,
2020-04-21,Scotland,
2020-04-20,Scotland,
2020-04-19,Scotland,
2020-04-18,Scotland,
2020-04-17,Scotland,650
2020-04-16,Scotland,
2020-04-15,Scotland,
2020-04-14,Scotland,
2020-04-13,Scotland,
2020-04-12,Scotland,
2020-04-11,Scotland,
2020-04-10,Scotland,609
2020-04-09,Scotland,
2020-04-08,Scotland,
2020-04-07,Scotland,
2020-04-06,Scotland,
2020-04-05,Scotland,
2020-04-04,Scotland,
2020-04-03,Scotland,282
2020-04-02,Scotland,
2020-04-01,Scotland,
2020-03-31,Scotland,
2020-03-30,Scotland,
2020-03-29,Scotland,
2020-03-28,Scotland,
2020-03-27,Scotland,62
2020-03-26,Scotland,
2020-03-25,Scotland,
2020-03-24,Scotland,
2020-03-23,Scotland,
2020-03-22,Scotland,
2020-03-21,Scotland,
2020-03-20,Scotland,11
