week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2019-12-27,52,729,,,
2020-01-03,1,1060,0,0,
2020-01-10,2,1195,0,0,
2020-01-17,3,1106,0,0,
2020-01-24,4,1024,0,0,
2020-01-31,5,1015,0,0,
2020-02-07,6,922,0,0,
2020-02-14,7,976,0,0,
2020-02-21,8,924,0,0,
2020-02-28,9,919,0,0,
2020-03-06,10,930,0,0,
2020-03-13,11,915,0,3,
2020-03-20,12,947,3,18,
2020-03-27,13,922,24,97,
2020-04-03,14,1246,185,294,
2020-04-10,15,1452,424,545,
2020-04-17,16,1632,558,572,
2020-04-24,17,1711,562,487,
2020-05-01,18,1418,438,421,
2020-05-08,19,1094,334,338,
2020-05-15,20,1283,319,245,
2020-05-22,21,1041,222,215,
2020-05-29,22,863,180,170,
2020-06-05,23,931,152,135,
2020-06-12,24,967,135,130,
2020-06-19,25,835,96,85,
2020-06-26,26,800,89,77,
2020-07-03,27,827,62,43,
2020-07-10,28,771,34,32,
2020-07-17,29,816,31,32,
2020-07-24,30,798,35,28,
2020-07-31,31,729,23,16,
2020-08-07,32,798,16,12,
2020-08-14,33,829,6,11,
2020-08-21,34,780,21,10,
2020-08-28,35,724,6,6,
2020-09-04,36,640,10,17,
2020-09-11,37,867,10,7,
2020-09-18,38,795,14,11,
2020-09-25,39,825,11,18,
2020-10-02,40,842,15,11,
2020-10-09,41,884,21,27,
2020-10-16,42,904,40,60,
2020-10-23,43,891,79,107,
2020-10-30,44,882,121,171,
2020-11-06,45,990,191,221,
2020-11-13,46,1099,245,269,
2020-11-20,47,1105,289,337,
2020-11-27,48,1218,361,354,
2020-12-04,49,1121,323,360,
2020-12-11,50,1199,334,318,
2020-12-18,51,1199,337,351,
2020-12-25,52,1097,337,301,
2021-01-01,53,842,249,248,
