date,areaName,deaths,deathsRollingRate,deathsReported
2021-01-23,North East Derbyshire,0,6.9000000000000003553,2
2021-01-24,North East Derbyshire,3,9.9000000000000003553,0
2021-01-25,North East Derbyshire,3,11.800000000000000711,1
2021-01-26,North East Derbyshire,3,13.800000000000000711,3
2021-01-27,North East Derbyshire,0,9.9000000000000003553,2
2021-01-28,North East Derbyshire,1,10.800000000000000711,1
2021-01-29,North East Derbyshire,3,12.800000000000000711,3
2021-01-30,North East Derbyshire,1,13.800000000000000711,1
2021-01-31,North East Derbyshire,2,12.800000000000000711,1
2021-02-01,North East Derbyshire,3,12.800000000000000711,1
2021-02-02,North East Derbyshire,2,11.800000000000000711,4
2021-02-03,North East Derbyshire,3,14.800000000000000711,3
2021-02-04,North East Derbyshire,1,14.800000000000000711,3
2021-02-05,North East Derbyshire,2,13.800000000000000711,2
2021-02-06,North East Derbyshire,0,12.800000000000000711,3
2021-02-07,North East Derbyshire,4,14.800000000000000711,0
2021-02-08,North East Derbyshire,0,11.800000000000000711,0
2021-02-09,North East Derbyshire,1,10.800000000000000711,5
2021-02-10,North East Derbyshire,0,7.9000000000000003553,0
2021-02-11,North East Derbyshire,0,6.9000000000000003553,1
2021-02-12,North East Derbyshire,1,5.9000000000000003553,1
2021-02-13,North East Derbyshire,1,6.9000000000000003553,0
2021-02-14,North East Derbyshire,1,3.8999999999999999112,2
2021-02-15,North East Derbyshire,2,5.9000000000000003553,0
2021-02-16,North East Derbyshire,1,5.9000000000000003553,4
2021-02-17,North East Derbyshire,4,9.9000000000000003553,0
2021-02-18,North East Derbyshire,1,10.800000000000000711,2
2021-02-19,North East Derbyshire,0,9.9000000000000003553,4
2021-02-20,North East Derbyshire,0,8.9000000000000003553,0
2021-02-21,North East Derbyshire,1,8.9000000000000003553,0
2021-02-22,North East Derbyshire,0,6.9000000000000003553,1
2021-02-23,North East Derbyshire,3,8.9000000000000003553,2
2021-02-24,North East Derbyshire,1,5.9000000000000003553,0
2021-02-25,North East Derbyshire,1,5.9000000000000003553,3
2021-02-26,North East Derbyshire,2,7.9000000000000003553,2
2021-02-27,North East Derbyshire,0,7.9000000000000003553,0
2021-02-28,North East Derbyshire,0,,2
2021-03-01,North East Derbyshire,1,,0
2021-03-02,North East Derbyshire,0,,1
2021-03-03,North East Derbyshire,0,,1
2021-03-04,North East Derbyshire,,,1
