date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-08-24,Midlands,157,9.9,1199,180,"[{'age': '6_to_17', 'rate': 51.7, 'value': 799}, {'age': '85+', 'rate': 6973.7, 'value': 18326}, {'age': '65_to_84', 'rate': 2053.0, 'value': 36289}, {'age': '18_to_64', 'rate': 506.5, 'value': 32156}, {'age': '0_to_5', 'rate': 102.0, 'value': 748}]"
2021-08-23,Midlands,161,10.0,1209,175,"[{'age': '6_to_17', 'rate': 51.4, 'value': 795}, {'age': '85+', 'rate': 6965.7, 'value': 18305}, {'age': '65_to_84', 'rate': 2050.2, 'value': 36239}, {'age': '18_to_64', 'rate': 505.3, 'value': 32076}, {'age': '0_to_5', 'rate': 101.7, 'value': 746}]"
2021-08-22,Midlands,135,10.0,1185,181,"[{'age': '6_to_17', 'rate': 51.2, 'value': 792}, {'age': '85+', 'rate': 6956.6, 'value': 18281}, {'age': '65_to_84', 'rate': 2047.5, 'value': 36191}, {'age': '18_to_64', 'rate': 504.0, 'value': 31996}, {'age': '0_to_5', 'rate': 100.9, 'value': 740}]"
2021-08-21,Midlands,127,10.1,1119,176,"[{'age': '6_to_17', 'rate': 51.1, 'value': 791}, {'age': '85+', 'rate': 6950.1, 'value': 18264}, {'age': '65_to_84', 'rate': 2044.5, 'value': 36138}, {'age': '18_to_64', 'rate': 503.1, 'value': 31936}, {'age': '0_to_5', 'rate': 100.4, 'value': 736}]"
2021-08-20,Midlands,145,10.0,1129,175,"[{'age': '6_to_17', 'rate': 51.0, 'value': 789}, {'age': '85+', 'rate': 6944.1, 'value': 18248}, {'age': '65_to_84', 'rate': 2042.0, 'value': 36095}, {'age': '18_to_64', 'rate': 502.1, 'value': 31874}, {'age': '0_to_5', 'rate': 99.8, 'value': 732}]"
2021-08-19,Midlands,162,10.0,1095,163,"[{'age': '6_to_17', 'rate': 50.6, 'value': 783}, {'age': '85+', 'rate': 6940.2, 'value': 18238}, {'age': '65_to_84', 'rate': 2039.5, 'value': 36050}, {'age': '18_to_64', 'rate': 500.8, 'value': 31794}, {'age': '0_to_5', 'rate': 99.3, 'value': 728}]"
2021-08-18,Midlands,165,9.9,1067,164,"[{'age': '6_to_17', 'rate': 50.2, 'value': 776}, {'age': '85+', 'rate': 6931.1, 'value': 18214}, {'age': '65_to_84', 'rate': 2036.8, 'value': 36002}, {'age': '18_to_64', 'rate': 499.6, 'value': 31716}, {'age': '0_to_5', 'rate': 98.6, 'value': 723}]"
2021-08-17,Midlands,166,9.9,1052,157,"[{'age': '6_to_17', 'rate': 50.0, 'value': 774}, {'age': '85+', 'rate': 6922.7, 'value': 18192}, {'age': '65_to_84', 'rate': 2034.0, 'value': 35953}, {'age': '18_to_64', 'rate': 498.2, 'value': 31629}, {'age': '0_to_5', 'rate': 97.9, 'value': 718}]"
2021-08-16,Midlands,165,9.7,1063,161,"[{'age': '6_to_17', 'rate': 50.0, 'value': 773}, {'age': '85+', 'rate': 6916.7, 'value': 18176}, {'age': '65_to_84', 'rate': 2030.7, 'value': 35894}, {'age': '18_to_64', 'rate': 496.9, 'value': 31542}, {'age': '0_to_5', 'rate': 97.5, 'value': 715}]"
2021-08-15,Midlands,144,9.4,1002,163,"[{'age': '6_to_17', 'rate': 49.8, 'value': 770}, {'age': '85+', 'rate': 6906.8, 'value': 18150}, {'age': '65_to_84', 'rate': 2027.3, 'value': 35834}, {'age': '18_to_64', 'rate': 495.7, 'value': 31471}, {'age': '0_to_5', 'rate': 96.8, 'value': 710}]"
